accountID,date,transactionType,category,description,Amount,accountBAL
8010-27075685-001,2024-01-01 01:39:49,Debit,Loan,Personal Loan,-500.9,-500.9
8010-27075685-001,2024-01-01 16:05:48,Debit,Maintenance/Service,Auto Repair,-201.48,-702.38
8010-27075685-001,2024-01-01 23:16:18,Debit,Family Allowances,Spouse Allowance,-279.94,-982.32
8010-27075685-001,2024-01-02 00:38:04,Debit,Maintenance/Service,Electrician Service,-214.07,-1196.39
8010-27075685-001,2024-01-02 10:33:59,Credit,Deposit,Salary Deposit,5000.23,3803.84
8010-27075685-001,2024-01-03 03:36:44,Debit,Facilities (1c),G y m   S u b s c r i p t i o n,-265.99,3537.85
8010-27075685-001,2024-01-03 21:24:27,Credit,Deposit Extra,Mobile Wallet Transfer,101.85,3639.7
8010-27075685-001,2024-01-03 23:46:42,Debit,Facilities (2b),G a s   P r o v i d e r,-65.85,3573.85
8010-27075685-001,2024-01-04 04:37:36,Debit,Loan,Housing Loan,-1000.32,2573.53
8010-27075685-001,2024-01-05 00:49:34,Debit,Facilities (2c),T r a s h   C o l l e c t i o n   S e r v i c e,-93.96,2479.57
8010-27075685-001,2024-01-05 08:26:54,Debit,Family Allowances,Children Allowance,-145.09,2334.48
8010-27075685-001,2024-01-05 15:36:01,Debit,Facilities (1b),I n s u r a n c e,-207.34,2127.14
8010-27075685-001,2024-01-05 22:54:10,Debit,Facilities (2e),P u b l i c   T r a n s p o r t   P a s s,-63.1,2064.04
8010-27075685-001,2024-01-05 23:20:27,Debit,Facilities (2a),W a t e r   U t i l i t y,-74.53,1989.51
8010-27075685-001,2024-01-06 05:19:11,Debit,Maintenance/Service,Electrician Service,-184.93,1804.58
8010-27075685-001,2024-01-06 10:02:54,Debit,Bills (Entertainment),Music Streaming,-131.48,1673.1
8010-27075685-001,2024-01-06 10:18:45,Debit,Facilities (1a),E l e c t r i c   C o m p a n y,-237.61,1435.49
8010-27075685-001,2024-01-06 12:47:44,Debit,Facilities (2d),C l o u d   S e r v i c e,-120.19,1315.3
8010-27075685-001,2024-01-07 19:49:39,Debit,Loan,Vehicle Loan,-500.3,815.0
8010-27075685-001,2024-01-16 10:08:54,Debit,Maintenance/Service,Plumber Service,-238.31,576.69
8010-27075685-001,2024-01-17 04:25:04,Debit,Maintenance/Service,Plumber Service,-205.08,371.61
8010-27075685-001,2024-01-21 08:13:31,Debit,Maintenance/Service,Electrician Service,-222.81,148.8
8010-27075685-001,2024-01-26 23:57:00,Debit,Maintenance/Service,Auto Repair,-166.61,-17.81
8010-27075685-001,2024-01-27 12:30:17,Debit,Maintenance/Service,Auto Repair,-249.31,-267.12
8010-27075685-001,2024-02-01 16:42:48,Debit,Family Allowances,Spouse Allowance,-286.91,-554.03
8010-27075685-001,2024-02-02 15:22:20,Credit,Deposit,Salary Deposit,5000.91,4446.88
8010-27075685-001,2024-02-02 18:40:15,Debit,Maintenance/Service,Plumber Service,-194.19,4252.69
8010-27075685-001,2024-02-02 19:43:20,Debit,Facilities (1b),I n s u r a n c e,-208.12,4044.57
8010-27075685-001,2024-02-03 06:41:26,Debit,Facilities (2d),C l o u d   S e r v i c e,-174.97,3869.6
8010-27075685-001,2024-02-03 16:44:04,Credit,Deposit Extra,Mobile Wallet Transfer,113.09,3982.69
8010-27075685-001,2024-02-04 09:24:09,Debit,Facilities (2c),T r a s h   C o l l e c t i o n   S e r v i c e,-85.29,3897.4
8010-27075685-001,2024-02-04 21:14:19,Debit,Family Allowances,Children Allowance,-134.63,3762.77
8010-27075685-001,2024-02-04 21:39:03,Debit,Facilities (1c),G y m   S u b s c r i p t i o n,-270.59,3492.18
8010-27075685-001,2024-02-05 09:09:51,Debit,Loan,Personal Loan,-500.22,2991.96
8010-27075685-001,2024-02-05 10:45:30,Debit,Loan,Vehicle Loan,-500.12,2491.84
8010-27075685-001,2024-02-05 18:41:15,Debit,Facilities (2a),W a t e r   U t i l i t y,-84.86,2406.98
8010-27075685-001,2024-02-05 22:44:42,Debit,Bills (Entertainment),Cloud Gaming Subscription,-134.33,2272.65
8010-27075685-001,2024-02-05 23:50:12,Debit,Facilities (2e),P u b l i c   T r a n s p o r t   P a s s,-65.37,2207.28
8010-27075685-001,2024-02-06 07:06:44,Debit,Loan,Housing Loan,-1000.61,1206.67
8010-27075685-001,2024-02-07 13:48:45,Debit,Facilities (2b),G a s   P r o v i d e r,-85.89,1120.78
8010-27075685-001,2024-02-07 22:06:59,Debit,Facilities (1a),E l e c t r i c   C o m p a n y,-241.7,879.08
8010-27075685-001,2024-02-16 04:32:25,Debit,Maintenance/Service,Electrician Service,-223.77,655.31
8010-27075685-001,2024-02-19 03:00:13,Debit,Maintenance/Service,Electrician Service,-150.84,504.47
8010-27075685-001,2024-02-19 19:11:32,Debit,Maintenance/Service,Plumber Service,-187.39,317.08
8010-27075685-001,2024-02-20 08:26:09,Debit,Maintenance/Service,Electrician Service,-153.38,163.7
8010-27075685-001,2024-02-25 01:39:15,Debit,Maintenance/Service,Plumber Service,-190.77,-27.07
8010-27075685-001,2024-02-25 13:27:50,Debit,Maintenance/Service,Plumber Service,-189.13,-216.2
8010-27075685-001,2024-02-25 19:44:31,Debit,Maintenance/Service,Plumber Service,-212.27,-428.47
8010-27075685-001,2024-02-28 08:54:19,Debit,Maintenance/Service,Electrician Service,-171.15,-599.62
8010-27075685-001,2024-03-01 06:45:20,Debit,Facilities (2b),G a s   P r o v i d e r,-50.5,-650.12
8010-27075685-001,2024-03-01 19:57:59,Debit,Facilities (1b),I n s u r a n c e,-226.51,-876.63
8010-27075685-001,2024-03-01 20:37:44,Debit,Facilities (2d),C l o u d   S e r v i c e,-101.55,-978.18
8010-27075685-001,2024-03-02 15:52:36,Debit,Loan,Housing Loan,-1000.05,-1978.23
8010-27075685-001,2024-03-02 23:47:14,Debit,Facilities (2a),W a t e r   U t i l i t y,-79.68,-2057.91
8010-27075685-001,2024-03-03 11:42:13,Debit,Facilities (1a),E l e c t r i c   C o m p a n y,-164.48,-2222.39
8010-27075685-001,2024-03-03 12:36:12,Debit,Bills (Entertainment),Cloud Gaming Subscription,-127.31,-2349.7
8010-27075685-001,2024-03-03 17:52:23,Debit,Facilities (2e),P u b l i c   T r a n s p o r t   P a s s,-72.87,-2422.57
8010-27075685-001,2024-03-04 07:46:32,Debit,Loan,Personal Loan,-500.65,-2923.22
8010-27075685-001,2024-03-04 12:09:43,Debit,Maintenance/Service,Auto Repair,-237.22,-3160.44
